coupon_title_key,coupon_code_key,coupon_title_example,coupon_code_example,paid_registrations,channel_name,channel_type,alias_reason,reviewed
BENEFICIO 50,E9CF89ND,Benefício 50%,E9CF89ND,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,EF84USK6,Benefício 50%,EF84USK6,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,FT8RVNL7,Benefício 50%,FT8RVNL7,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,GF2UMIRH,Benefício 50%,GF2UMIRH,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,HU2HNESI,Benefício 50%,HU2HNESI,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,JEXTBTQD,Benefício 50%,JEXTBTQD,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,JY1E7GIW,Benefício 50%,JY1E7GIW,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,K1RX3NVN,Benefício 50%,K1RX3NVN,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,LYT5Y7P7,Benefício 50%,LYT5Y7P7,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,MXWDVRHR,Benefício 50%,MXWDVRHR,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,NIQGMLM2,Benefício 50%,NIQGMLM2,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,PJI7ECTD,Benefício 50%,PJI7ECTD,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,S2HRYAKR,Benefício 50%,S2HRYAKR,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,T58AUHXI,Benefício 50%,T58AUHXI,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,TIE64MS8,Benefício 50%,TIE64MS8,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,UMD3LPIL,Benefício 50%,UMD3LPIL,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,VP5LHWVD,Benefício 50%,VP5LHWVD,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,W448JSWE,Benefício 50%,W448JSWE,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,WM7TEFPW,Benefício 50%,WM7TEFPW,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,XL92BZIG,Benefício 50%,XL92BZIG,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,Y7362UMR,Benefício 50%,Y7362UMR,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BENEFICIO 50,YN1J77U8,Benefício 50%,YN1J77U8,1,Benefício,beneficio,códigos individuais consolidados no benefício pelo título explícito do cupom,True
BORA,BORA,BORA,BORA,13,BORA,outro,identidade exata de título e código revisada,True
BOTUESPORTES,BOTUESPORTES2026,BOTUESPORTES,BOTUESPORTES2026,51,BOTUESPORTES,comunidade,identidade exata de título e código revisada,True
BOTUESPORTES2026 100,BOTUESPORTES2026 100,BOTUESPORTES2026_100,BOTUESPORTES2026_100,1,BOTUESPORTES,comunidade,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
BRUNA VILAVERDE INFLUENCIADORA SEM CASHBACK,VEGELOVER,Bruna Vilaverde (Influenciadora - Sem Cashback),VEGELOVER,5,Bruna Vilaverde,influenciador,identidade exata de título e código revisada,True
BRUNINHO INFLU X 10 CASHBACK,BORACORRER,BRUNINHO (Influ x 10% cashback),BORACORRER,61,BRUNINHO,influenciador,identidade exata de título e código revisada,True
BRUNO FONTES PARCEIRO,BRUNOFONTES,Bruno Fontes (Parceiro),BRUNOFONTES,7,Bruno Fontes,parceiro,identidade exata de título e código revisada,True
BRUNOBEIRAOASSESSORIA,BRUNOBEIRAOASSESSORIA,BRUNOBEIRAOASSESSORIA,BRUNOBEIRAOASSESSORIA,4,BRUNOBEIRAOASSESSORIA,assessoria,identidade exata de título e código revisada,True
CANALCORREDORES INFLU X ESPACO EXPO,CC10,CANALCORREDORES (Influ x espaço Expo),CC10,144,CANALCORREDORES,influenciador,identidade exata de título e código revisada,True
CDO,CDO,CDO,CDO,14,CDO,outro,identidade exata de título e código revisada,True
CHINTHIA ANDRUCHAK INFLU X 10 CASHBACK,CINTHIA,CHINTHIA ANDRUCHAK (Influ x 10% cashback),CINTHIA,150,CHINTHIA ANDRUCHAK,influenciador,identidade exata de título e código revisada,True
CIARUNNINGCWB,CIARUNNINGCWB,CiaRunningCWB,CiaRunningCWB,14,CiaRunningCWB,comunidade,identidade exata de título e código revisada,True
CIRCLERUNNING,CIRCLERUNNING,CIRCLERUNNING,CIRCLERUNNING,16,CIRCLERUNNING,comunidade,identidade exata de título e código revisada,True
COMCAP,56N85LWK,COMCAP,56N85LWK,1,COMCAP,outro,códigos individuais consolidados pelo mesmo título exato de cupom,True
COMCAP,IVUMDL3L,COMCAP,IVUMDL3L,1,COMCAP,outro,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORPORALES RUNNERS,CORPORALES12,CORPORALES RUNNERS,CORPORALES12,35,Corporales Runners,comunidade,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
CORPORALES12 100,CORPORALES12 100,CORPORALES12_100,CORPORALES12_100,1,Corporales Runners,comunidade,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
CORRECRICIUMA,CORRECRICIUMA,CORRECRICIUMA,CORRECRICIUMA,22,Corre Criciúma,assessoria,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
CORRECRICIUMA,CORRECRICIUMA 100,CORRECRICIUMA,CORRECRICIUMA_100,1,Corre Criciúma,assessoria,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
CORREDORESRP,CORREDORESRP,CORREDORESRP,CORREDORESRP,3,CORREDORESRP,comunidade,identidade exata de título e código revisada,True
CORREDORESUY2026,CORREDORESUY2026,Corredoresuy2026,Corredoresuy2026,32,Corredores UY,comunidade,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
CORREDORESUY2026 100,CORREDORESUY2026 100,Corredoresuy2026_100,Corredoresuy2026_100,1,Corredores UY,comunidade,variante 100% ou nome operacional consolidado ao mesmo canal pelo nome/código base,True
CORRER ME CONECTA,CORRERMECONECTA2025,Correr Me Conecta,Corrermeconecta2025,4,Correr Me Conecta,comunidade,identidade exata de título e código revisada,True
CORRIDANAREDE INFLU X CORTESIAS,CORRIDANAREDE,CORRIDANAREDE (Influ x cortesias),CORRIDANAREDE,15,CORRIDANAREDE,influenciador,identidade exata de título e código revisada,True
CORRIDANOAR INFLU X 10 CASHBACK,CORRIDANOAR,CORRIDANOAR (Influ x 10% cashback),CORRIDANOAR,12,CORRIDANOAR,influenciador,identidade exata de título e código revisada,True
CORRIDAS BR 10 CASHBACK,CORRIDASBR,Corridas BR (10% + Cashback),CORRIDASBR,35,Corridas BR,comunidade,identidade exata de título e código revisada,True
CORRIDASCHAPECO 10,CORRIDASCHAPECO,CORRIDASCHAPECO (10%),CORRIDASCHAPECO,7,CORRIDASCHAPECO,comunidade,identidade exata de título e código revisada,True
CORRIDASFLORIPA INFLU X CORTESIAS,CORRIDASFLORIPA,CORRIDASFLORIPA (Influ x cortesias),CORRIDASFLORIPA,372,CORRIDASFLORIPA,influenciador,identidade exata de título e código revisada,True
CORTESIA KIDS,2NI7VDEE,CORTESIA KIDS,2NI7VDEE,1,CORTESIA KIDS,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA KIDS,5989BIIJ,CORTESIA KIDS,5989BIIJ,1,CORTESIA KIDS,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA KIDS,ECPL4DKF,CORTESIA KIDS,ECPL4DKF,1,CORTESIA KIDS,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA KIDS,UKUKVAIU,CORTESIA KIDS,UKUKVAIU,1,CORTESIA KIDS,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA PCD,1DQKY1FL,CORTESIA PCD,1DQKY1FL,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CORTESIA STC,1LEUSJH6,CORTESIA STC,1LEUSJH6,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,21EGUFH7,CORTESIA STC,21EGUFH7,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,2KH3P3AQ,CORTESIA STC,2KH3P3AQ,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,45DECH9K,CORTESIA STC,45DECH9K,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,4KATHUG2,CORTESIA STC,4KATHUG2,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,657558EW,CORTESIA STC,657558EW,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,749C2S8F,CORTESIA STC,749C2S8F,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,7J6R74FW,CORTESIA STC,7J6R74FW,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,86ZVXZK7,CORTESIA STC,86ZVXZK7,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,9433UIER,CORTESIA STC,9433UIER,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,9N5PP67A,CORTESIA STC,9N5PP67A,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,9QW7KDI2,CORTESIA STC,9QW7KDI2,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,A35BR37B,CORTESIA STC,A35BR37B,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,BPYFHXCL,CORTESIA STC,BPYFHXCL,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,C9UR5BBF,CORTESIA STC,C9UR5BBF,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,CM1MEG65,CORTESIA STC,CM1MEG65,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,DPS6ANIW,CORTESIA STC,DPS6ANIW,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,E9NHX3GR,CORTESIA STC,E9NHX3GR,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,G8QPULAB,CORTESIA STC,G8QPULAB,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,GNM4YYHS,CORTESIA STC,GNM4YYHS,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,GUJTKGFL,CORTESIA STC,GUJTKGFL,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,H8JFLCFM,CORTESIA STC,H8JFLCFM,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,HSM2H185,CORTESIA STC,HSM2H185,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,IUDJD8KW,CORTESIA STC,IUDJD8KW,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,JCID5E7Z,CORTESIA STC,JCID5E7Z,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,JSFSAREG,CORTESIA STC,JSFSAREG,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,LDC4X6CB,CORTESIA STC,LDC4X6CB,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,LT9H2HJS,CORTESIA STC,LT9H2HJS,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,MBEBTP6V,CORTESIA STC,MBEBTP6V,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,MKZBFVMW,CORTESIA STC,MKZBFVMW,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,MRBQY2DC,CORTESIA STC,MRBQY2DC,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,ND5UQWIM,CORTESIA STC,ND5UQWIM,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,NX8FKJB6,CORTESIA STC,NX8FKJB6,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,PC82LGC6,CORTESIA STC,PC82LGC6,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,QX26DBGG,CORTESIA STC,QX26DBGG,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,RW4D9UA1,CORTESIA STC,RW4D9UA1,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,TGZQX99V,CORTESIA STC,TGZQX99V,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,TIR8TGKM,CORTESIA STC,TIR8TGKM,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,TWX42LGC,CORTESIA STC,TWX42LGC,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,UVZCY59W,CORTESIA STC,UVZCY59W,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,W2PSDED1,CORTESIA STC,W2PSDED1,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,WFVNLJ8Q,CORTESIA STC,WFVNLJ8Q,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,WHM7HRKH,CORTESIA STC,WHM7HRKH,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,XZSZ9X6K,CORTESIA STC,XZSZ9X6K,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,Y2II55IC,CORTESIA STC,Y2II55IC,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,Z1KQ2PCW,CORTESIA STC,Z1KQ2PCW,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA STC,ZGH571JD,CORTESIA STC,ZGH571JD,1,CORTESIA STC,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA TREINOS,575W7ADU,Cortesia Treinos,575W7ADU,1,Cortesia Treinos,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA TREINOS,SHYHYB7T,Cortesia Treinos,SHYHYB7T,1,Cortesia Treinos,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIA TREINOS,YKL4YE3D,Cortesia Treinos,YKL4YE3D,1,Cortesia Treinos,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,33Z6F88B,Cortesias (Lote Final),33Z6F88B,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,6VJPKCGR,Cortesias (Lote Final),6VJPKCGR,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,CTALYWFH,Cortesias (Lote Final),CTALYWFH,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,FB96IV7V,Cortesias (Lote Final),FB96IV7V,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,FR6KN7EC,Cortesias (Lote Final),FR6KN7EC,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,IJQ4TBMR,Cortesias (Lote Final),IJQ4TBMR,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,LVU7NAAW,Cortesias (Lote Final),LVU7NAAW,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,PHH17WKH,Cortesias (Lote Final),PHH17WKH,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,S1FKRUDW,Cortesias (Lote Final),S1FKRUDW,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,TYITMD6G,Cortesias (Lote Final),TYITMD6G,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CORTESIAS LOTE FINAL,ZJ1LVAGX,Cortesias (Lote Final),ZJ1LVAGX,1,Cortesias,cortesia,códigos individuais consolidados pelo mesmo título exato de cupom,True
CR RUNNERS BRASIL,ASSESSORIACRRUNNERSBRASIL2025,CR RUNNERS BRASIL,AssessoriaCRRUNNERSBRASIL2025,13,CR RUNNERS BRASIL,comunidade,identidade exata de título e código revisada,True
CRK2025,CRK2025,CRK2025,CRK2025,8,CRK2025,outro,identidade exata de título e código revisada,True
CUPOM KIDS INGRID,INGRID KIDS,Cupom Kids - Ingrid,INGRID-KIDS,2,Cupom Kids - Ingrid,outro,identidade exata de título e código revisada,True
CUPOM PCD,185GQR9J,CUPOM PCD,185GQR9J,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,1E26C97C,CUPOM PCD,1E26C97C,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,1S82KE23,CUPOM PCD,1S82KE23,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,2KDKVFXT,CUPOM PCD,2KDKVFXT,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,35AWJUWM,CUPOM PCD,35AWJUWM,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,3C4D9T1W,CUPOM PCD,3C4D9T1W,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,3S1SD68D,CUPOM PCD,3S1SD68D,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,4R41AP1X,CUPOM PCD,4R41AP1X,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,5DX41J68,CUPOM PCD,5DX41J68,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,5J9JKQWN,CUPOM PCD,5J9JKQWN,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,5YR8SEBI,CUPOM PCD,5YR8SEBI,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,6BZCX4ZS,CUPOM PCD,6BZCX4ZS,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,6GW2JLXK,CUPOM PCD,6GW2JLXK,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,6XTGPY53,CUPOM PCD,6XTGPY53,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,7JMJFT9C,CUPOM PCD,7JMJFT9C,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,7VWNKHXL,CUPOM PCD,7VWNKHXL,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,8HQSCD3W,CUPOM PCD,8HQSCD3W,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,8N27VITC,CUPOM PCD,8N27VITC,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,9FSZ8WWG,CUPOM PCD,9FSZ8WWG,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,A2L4ZR2R,CUPOM PCD,A2L4ZR2R,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,AIII5498,CUPOM PCD,AIII5498,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,BAP2F55Y,CUPOM PCD,BAP2F55Y,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,BMX6KTT8,CUPOM PCD,BMX6KTT8,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,BWI56Z99,CUPOM PCD,BWI56Z99,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,C9R9BNXI,CUPOM PCD,C9R9BNXI,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,E9KZ4F4T,CUPOM PCD,E9KZ4F4T,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,EFGPQX2M,CUPOM PCD,EFGPQX2M,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,ETMKY3WC,CUPOM PCD,ETMKY3WC,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,EVE4UA94,CUPOM PCD,EVE4UA94,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,FM5W8MB8,CUPOM PCD,FM5W8MB8,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,GFAFIN7Y,CUPOM PCD,GFAFIN7Y,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,H8FYTP3P,CUPOM PCD,H8FYTP3P,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,HSIJNDV8,CUPOM PCD,HSIJNDV8,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,I63GSL3L,CUPOM PCD,I63GSL3L,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,ICFVBRU3,CUPOM PCD,ICFVBRU3,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
CUPOM PCD,IJ9C1QYB,CUPOM PCD,IJ9C1QYB,1,PCD,politica,códigos individuais consolidados na política PCD pelo título explícito do cupom,True
